v_r(m/s)           v_z(m/s)           EVDF(m-3s-3)       
1.5325585193e+04   -1.0114886228e+06  1.6183373757e-21  
1.5325585193e+04   -9.9105450916e+05  1.7806219037e-21  
1.5325585193e+04   -9.7062039557e+05  2.0195407920e-21  
1.5325585193e+04   -9.5018628198e+05  2.4117284012e-21  
1.5325585193e+04   -9.2975216839e+05  2.3756651728e-21  
1.5325585193e+04   -9.0931805480e+05  2.5785208327e-21  
1.5325585193e+04   -8.8888394121e+05  2.7092500357e-21  
1.5325585193e+04   -8.6844982762e+05  2.9887400560e-21  
1.5325585193e+04   -8.4801571403e+05  3.0248032845e-21  
1.5325585193e+04   -8.2758160044e+05  3.6468939749e-21  
1.5325585193e+04   -8.0714748685e+05  3.9624472236e-21  
1.5325585193e+04   -7.8671337325e+05  3.9894946449e-21  
1.5325585193e+04   -7.6627925966e+05  4.4042217719e-21  
1.5325585193e+04   -7.4584514607e+05  4.5124114572e-21  
1.5325585193e+04   -7.2541103248e+05  4.9767255232e-21  
1.5325585193e+04   -7.0497691889e+05  5.1074547262e-21  
1.5325585193e+04   -6.8454280530e+05  5.3058024826e-21  
1.5325585193e+04   -6.6410869171e+05  5.7656086451e-21  
1.5325585193e+04   -6.4367457812e+05  6.0991935080e-21  
1.5325585193e+04   -6.2324046453e+05  6.5319522492e-21  
1.5325585193e+04   -6.0280635093e+05  6.3020491679e-21  
1.5325585193e+04   -5.8237223734e+05  6.8655371121e-21  
1.5325585193e+04   -5.6193812375e+05  6.9647109903e-21  
1.5325585193e+04   -5.4150401016e+05  7.1901061680e-21  
1.5325585193e+04   -5.2106989657e+05  7.6679439447e-21  
1.5325585193e+04   -5.0063578298e+05  8.1457817214e-21  
1.5325585193e+04   -4.8020166939e+05  8.4613349701e-21  
1.5325585193e+04   -4.5976755580e+05  9.4395500413e-21  
1.5325585193e+04   -4.3933344221e+05  9.3493919702e-21  
1.5325585193e+04   -4.1889932862e+05  1.0282528006e-20  
1.5325585193e+04   -3.9846521502e+05  1.1220171945e-20  
1.5325585193e+04   -3.7803110143e+05  1.2103721041e-20  
1.5325585193e+04   -3.5759698784e+05  1.2775398671e-20  
1.5325585193e+04   -3.3716287425e+05  1.2689748503e-20  
1.5325585193e+04   -3.1672876066e+05  1.3158570473e-20  
1.5325585193e+04   -2.9629464707e+05  1.4547004767e-20  
1.5325585193e+04   -2.7586053348e+05  1.5187127072e-20  
1.5325585193e+04   -2.5542641989e+05  1.4145801351e-20  
1.5325585193e+04   -2.3499230630e+05  1.4754368331e-20  
1.5325585193e+04   -2.1455819271e+05  1.4713797199e-20  
1.5325585193e+04   -1.9412407911e+05  1.5069921580e-20  
1.5325585193e+04   -1.7368996552e+05  1.5033858351e-20  
1.5325585193e+04   -1.5325585193e+05  1.5935439062e-20  
1.5325585193e+04   -1.3282173834e+05  1.5263761433e-20  
1.5325585193e+04   -1.1238762475e+05  1.4817478981e-20  
1.5325585193e+04   -9.1953511160e+04  1.4758876235e-20  
1.5325585193e+04   -7.1519397569e+04  1.4799447366e-20  
1.5325585193e+04   -5.1085283978e+04  1.5236714011e-20  
1.5325585193e+04   -3.0651170387e+04  1.4885097534e-20  
1.5325585193e+04   -1.0217056796e+04  1.4709289295e-20  
1.5325585193e+04   1.0217056796e+04   1.5322364179e-20  
1.5325585193e+04   3.0651170387e+04   1.5254745625e-20  
1.5325585193e+04   5.1085283978e+04   1.5245729818e-20  
1.5325585193e+04   7.1519397569e+04   1.5444077575e-20  
1.5325585193e+04   9.1953511160e+04   1.5024842544e-20  
1.5325585193e+04   1.1238762475e+05   1.4840018498e-20  
1.5325585193e+04   1.3282173834e+05   1.5173603361e-20  
1.5325585193e+04   1.5325585193e+05   1.5710043884e-20  
1.5325585193e+04   1.7368996552e+05   1.4934684473e-20  
1.5325585193e+04   1.9412407911e+05   1.5412522250e-20  
1.5325585193e+04   2.1455819271e+05   1.4930176570e-20  
1.5325585193e+04   2.3499230630e+05   1.5764138727e-20  
1.5325585193e+04   2.5542641989e+05   1.4867065920e-20  
1.5325585193e+04   2.7586053348e+05   1.5457601285e-20  
1.5325585193e+04   2.9629464707e+05   1.5453093382e-20  
1.5325585193e+04   3.1672876066e+05   1.6395245224e-20  
1.5325585193e+04   3.3716287425e+05   1.5610870006e-20  
1.5325585193e+04   3.5759698784e+05   1.5092461097e-20  
